AREA_NAME,USER_COUNT,ALPHA,AREA_CODE
練馬区,64,2.0752855913715207,131202
大田区,52,1.9784184770076239,131113
世田谷区,51,2.041652678632315,131121
板橋区,46,1.9609688123459614,131199
杉並区,41,2.1340662475591388,131156
江東区,39,1.8296997366281684,131083
足立区,38,2.0682872111509685,131211
葛飾区,35,2.1683005539781863,131229
品川区,34,2.041720200970153,131091
北区,33,2.0540035428274566,131172
江戸川区,31,2.003938637775923,131237
新宿区,31,2.0302196490532545,131041
八王子市,28,1.864757528946073,132012
中野区,27,2.04907008367568,131148
目黒区,22,2.340623771992304,131105
文京区,21,1.8733182609711205,131059
町田市,21,1.9411243860362295,132098
豊島区,20,2.091246809912205,131164
府中市,20,2.193645471170764,132063
墨田区,20,1.9227850524586154,131075
調布市,19,2.0966925352432764,132080
中央区,19,1.9342334431785746,131024
小平市,16,2.228149269417756,132110
立川市,16,1.9789000911180665,132021
荒川区,15,1.7040295807674108,131181
港区,15,2.1303596557256372,131032
武蔵野市,14,2.1795725904681644,132039
東村山市,13,2.0997273692947074,132136
日野市,12,1.9868268332336445,132128
三鷹市,12,2.1966254124960276,132047
多摩市,12,1.9651594299174828,132241
台東区,11,2.1820379197027737,131067
西東京市,10,2.0592898641788553,132292
渋谷区,9,2.283175111365084,131130
小金井市,9,1.9664273078577958,132101
国分寺市,8,2.05049881644177,132144
千代田区,6,2.213512347786928,131016
国立市,6,2.5121573297698685,132152
狛江市,5,1.9347105917743757,132195
青梅市,5,1.8090904508888228,132055
昭島市,5,1.7456357206706066,132071
稲城市,5,2.0619914941117794,132250
福生市,4,2.243654024273016,132187
武蔵村山市,4,2.2850643516928653,132233
あきる野市,4,1.9421387293128571,132284
羽村市,3,2.6418472723064275,132276
東大和市,3,2.521088922318255,132209
東久留米市,3,2.2675863008568125,132225
瑞穂町,1,1.8010052838722936,133035
日の出町,1,2.5791106426819286,133051
清瀬市,1,2.1160700820516363,132217
